Code,Carrier
AS,ALASKA
G4,ALLEGIANT
AA,AMERICAN
XP,AVELO
MX,MOXY
DL,DELTA
2D,EASTERN
F9,FRONTIER FLIGHT
HA,HAWAIIAN
B6,JETBLUE
WN,SOUTHWEST
NK,SPIRIT WINGS
SY,SUN COUNTRY
UA,UNITED
ZW,WISCONSIN
9K,CAIR
C5,COMMUTAIR
LF,VOLUNTEER
9E,ENDEAVOR
MQ,ENVOY
G7,LINDBERGH
QX,HORIZON
YV,AIR SHUTTLE
PT,PIEDMONT
OH,BLUE STREAK
7H,RAVN FLIGHT
YX,BRICKYARD
3M,SILVER WINGS
OO,SKYWEST
AN,WINGSPAN
YI,AIR SUNSHINE
8E,BERING AIR
4B,BOUTIQUE
5V,EVERTS
S6,
YR,SCENIC
GV,HOOT
,JUSTICE
XE,BIGSTRIPE
M5,KENMORE
KG,KEY LIME
MW,MAHALO
EJ,NEW ENGLAND
8D,SERVANT
9X,FRIENDLY
UF,SURFAIR
K3,TAQUAN
TJ,GOODSPEED
UE,ULTIMATE
4W,WARBELOW
8V,WRIGHT FLYER
G6,GEMINI
Y3,
II,CHASQUI
1I,EXECJET
X9,OMNI-EXPRESS
PH,GRAY BIRD
SI,SIERRA PACIFIC
SO,SPEND AIR
TI,WAGNER
WL,WORLD ATLANTIC
2I,CARGO SOUTH
GB,ABEX
2Q,NIGHT CARGO
8C,AIR TRANSPORT
KO,ACE AIR
KH,RHOADES EXPRESS
5A,ALPINE AIR
AFW,AMAZON AIR
A8,AMFLIGHT
M6,AMERIJET
7Z,AMERISTAR
P9,MAGELLAN
5Y,GIANT
CH,BEMIDJI
EM,EMPIRE
FX,FEDEX
IF,EIFFEL
K4,CONNIE
CB,KALITTA
L2,LYNDEN
C2,MOUNTAIN
N8,NATIONAL CARGO
NC,YUKON
PO,POLAR
7S,RYAN AIR
GG,SKY CUBE
KI,SKYWAY-INC
5X,UPS
UJ,JET USA
KD,WESTERN GLOBAL
WG,WIGGINS AIRWAYS
VX,Virgin America
EV,ExpressJet Airlines
